BlockId,Label
blk_-1608999687919862906,Normal
blk_7503483334202473044,Normal
blk_-3544583377289625738,Anomaly
blk_-9073992586687739851,Normal
blk_7854771516489510256,Normal
blk_1717858812220360316,Normal
blk_-2519617320378473615,Normal
blk_7063315473424667801,Normal
blk_8586544123689943463,Normal
blk_2765344736980045501,Normal
blk_-2900490557492272760,Normal
blk_-50273257731426871,Normal
blk_4394112519745907149,Normal
blk_3640100967125688321,Normal
blk_-40115644493265216,Normal
blk_-8531310335568756456,Anomaly
blk_-3409923645141256069,Normal
blk_3974948352784823938,Normal
blk_5647760196018207394,Normal
blk_-202775138379690649,Normal
blk_-8120118743897862909,Normal
blk_8376667364205250596,Normal
blk_-1942808544656255720,Normal
blk_3947106522258141922,Anomaly
blk_-4513615671112005170,Normal
blk_5703440264997337028,Normal
blk_-66330728533676520,Normal
blk_1998424538687454859,Normal
blk_3175731177970777720,Normal
blk_5117857107611435103,Normal
blk_5727159100405160712,Normal
blk_-6535155942125829332,Normal
blk_-7742258871275669707,Normal
blk_-7861579849076010389,Normal
blk_-8476126489496204177,Normal
blk_-2372508938534145884,Normal
blk_4649698331936539655,Normal
blk_9069966081657556515,Normal
blk_-2444160001954743483,Normal
blk_-2828839543885026602,Normal
blk_-3940941529251864773,Normal
blk_8609819439677503690,Normal
blk_-8281945757273050140,Normal
blk_2825871331379974767,Normal
blk_-774246298521956028,Normal
blk_-5649479540791129974,Normal
blk_-8013855621109800549,Normal
blk_177394776382448614,Normal
blk_-2398209593415798905,Normal
blk_-6370470857048627387,Normal
blk_7475438553401908725,Normal
blk_-8186438745381579117,Normal
blk_-105450231192318816,Normal
blk_-1385756122847916710,Normal
blk_2080109799967615857,Normal
blk_3098154771341398925,Normal
blk_3738211383445750914,Normal
blk_-4309280423174037990,Normal
blk_584104991019184413,Normal
blk_6609646171038203219,Normal
blk_6740695140894845846,Normal
blk_6835995323369082616,Normal
blk_-7198899606504196854,Normal
blk_7955481321933797799,Normal
blk_7956543127401791181,Anomaly
blk_8026466674001363449,Normal
blk_-2850818623433938591,Normal
blk_6227055072516687391,Normal
blk_1937926427363440853,Normal
blk_-2682415100025107597,Normal
blk_-2814588473145762869,Normal
blk_634338240549205708,Normal
blk_7474637556625667220,Normal
blk_-7911463493785581853,Normal
blk_967160175355936210,Normal
blk_3941533870808561940,Normal
blk_40441923226500563,Normal
blk_6309418393114897475,Normal
blk_-6790654856691185731,Normal
blk_8558795046002911094,Normal
blk_-3667585438930153850,Normal
blk_5479015932651254774,Normal
blk_6918081507126070602,Normal
blk_8046151943293893685,Normal
blk_3461505966191484945,Normal
blk_-4341181125838883663,Normal
blk_5775293647706867248,Normal
blk_6288745377407023095,Normal
blk_-3076705858972714475,Normal
blk_4521164666406024155,Normal
blk_-5835224384325268050,Normal
blk_-3102267849859399193,Anomaly
blk_-3776330106018304557,Normal
blk_-3865158146925189370,Normal
blk_-6108780682959356968,Normal
blk_6597014667441085597,Normal
blk_-9025459096044337508,Normal
blk_-1477913034248457629,Normal
blk_1613550655988246573,Normal
blk_2074627648226805983,Normal
blk_2986822300704311308,Normal
blk_-4390409968877773039,Normal
blk_-8515113585876695879,Normal
blk_8595954612153362607,Normal
blk_8665604379324651807,Normal
blk_-1187723472581877455,Normal
blk_-1548346834251221499,Normal
blk_-1962009378227535387,Normal
blk_-2804479706331551014,Normal
blk_4845477247445346914,Normal
blk_-5702477348781461354,Normal
blk_-5800700353547170271,Normal
blk_-6920587680575966964,Normal
blk_-7158210625015641227,Normal
blk_-7226303435190136642,Normal
blk_-8756305378882356508,Normal
blk_8910234103556704078,Normal
blk_2329219899967276279,Normal
blk_-2741438423499484166,Normal
blk_-4710160024743429585,Normal
blk_5491460290951785997,Normal
blk_-2983481749155087856,Normal
blk_5161501523120226002,Normal
blk_1325332921567711382,Normal
blk_-1871778753987286456,Normal
blk_-518459762181346762,Normal
blk_2391384234620089834,Normal
blk_3433546525085724680,Normal
blk_-1076549517733373559,Normal
blk_7427307448707327249,Normal
blk_2912732363095595893,Normal
blk_-4190491243436026170,Normal
blk_-4667470578821022066,Normal
blk_-8054782785917830420,Normal
blk_-8091841062813936618,Normal
blk_9210346052555304090,Normal
blk_202536106610432362,Normal
blk_-2869299916035182755,Normal
blk_-4430564173662960642,Normal
blk_-6586753944835843334,Normal
blk_-6879190567969332918,Normal
blk_-6931080266317198977,Normal
blk_7352609810175565501,Normal
blk_-859705208416062320,Normal
blk_1404945464756167309,Normal
blk_1448813076571847187,Normal
blk_1912523661436659100,Normal
blk_2347008916727134499,Normal
blk_3508011185486088738,Normal
blk_3880327230518840131,Normal
blk_3972287319691001044,Normal
blk_-4770972463483766707,Normal
blk_-6125125239494402092,Normal
blk_8059760933250408909,Normal
blk_966870748231287658,Normal
blk_1279101103527882599,Normal
blk_-2598897828182146855,Normal
blk_3341600009111698611,Normal
blk_-4002888391906787542,Normal
blk_4386079411548040260,Normal
blk_4675103097330094461,Normal
blk_5488900529276086615,Normal
blk_-7518315834509097389,Normal
blk_855704723224540977,Normal
blk_1640563687655694592,Normal
blk_-7851573941192785283,Normal
blk_-2947515393396507971,Normal
blk_3522654861930890662,Normal
blk_-4673142718163027981,Normal
blk_-7660193828821971101,Normal
blk_-9166492953238830125,Normal
blk_2689014683808259029,Normal
blk_-2973260837493784784,Normal
blk_3909865472571090536,Normal
blk_-859147788836187186,Normal
blk_-4393655256228529026,Normal
blk_-5114249203202400596,Normal
blk_-546318595782592836,Normal
blk_3363069898317139269,Normal
blk_8573973636575611103,Normal
blk_-3758406899752824535,Normal
blk_38865049064139660,Normal
blk_-4229931861869531048,Normal
blk_-1626340715627889482,Normal
blk_2221775105544933826,Normal
blk_4737741713837408345,Normal
blk_-5950249832413179417,Normal
blk_-8420426811026669438,Normal
blk_-1470784088028862059,Normal
blk_2366822833609442341,Normal
blk_-2917825689581470793,Normal
blk_-4046605047697127122,Normal
blk_-5584251724032983856,Normal
blk_6021477756386488418,Normal
blk_7268266957111394674,Normal
blk_8814359467727556626,Normal
blk_-1700929423419481113,Normal
blk_-2622300918011411840,Normal
blk_3152503487390436165,Normal
blk_-4365681458226063681,Normal
blk_-5912999755522282446,Normal
blk_-7559008592818043090,Normal
blk_-8588230903310885315,Normal
blk_9125494407446525156,Normal
blk_2619290546489140930,Normal
blk_-3283849791137044034,Normal
blk_-7686748181966193443,Normal
blk_-1916058035352472789,Normal
blk_-2278104779962392523,Normal
blk_-3193540685585849952,Normal
blk_4931832500563355889,Normal
blk_5133892961859808126,Normal
blk_-1052739769153545987,Normal
blk_4151093570962084251,Normal
blk_6717969265771639561,Normal
blk_-4236464647074379160,Normal
blk_-2498004188306609167,Normal
blk_5636792039332085446,Normal
blk_-7185891569842971867,Normal
blk_2583366788302307794,Normal
blk_-4026330115303607086,Normal
blk_-1577830978049349432,Normal
blk_6420476111425645508,Normal
blk_377236923047456543,Normal
blk_8223024669447846632,Normal
blk_4058804987355354315,Normal
blk_4856031730010032819,Normal
blk_-6339417867119146108,Normal
blk_-6714222090039882252,Normal
blk_4031055865781150544,Normal
blk_8725561728667995755,Normal
blk_-9084956447070300510,Normal
blk_-8048421706779991679,Normal
blk_-4525470997464616220,Normal
blk_872694497849122755,Anomaly
blk_-5170072115129389871,Normal
blk_-5493359978973542887,Normal
blk_-8162512552777886199,Normal
blk_1185079144408607775,Normal
blk_-6852866038059123001,Normal
blk_6578809109018330119,Normal
blk_-7130787197300034964,Normal
blk_2657254091763574664,Normal
blk_3091099087150179177,Normal
blk_4623571410782847630,Normal
blk_-568941302732430172,Normal
blk_2404342940449629715,Normal
blk_-5414183895914433338,Normal
blk_613065710451569222,Normal
blk_-67977319704233769,Normal
blk_-8694359045337946818,Normal
blk_24847521761041757,Normal
blk_-3238412011236244640,Normal
blk_-1121030458003600251,Normal
blk_-6827329558602881823,Normal
blk_7132759917805418067,Normal
blk_7392010738495470190,Normal
blk_8055148678985254863,Normal
blk_-3520428728308625709,Normal
blk_6986538622634403948,Normal
blk_-6035208985581955117,Normal
blk_6678472565712118087,Normal
blk_7573381576932599374,Normal
blk_197214010584922120,Normal
blk_-3253829104116368139,Normal
blk_-3443869707407490925,Normal
blk_-7689031213313245416,Normal
blk_3773669678166680940,Normal
blk_841265344082922041,Normal
blk_3488190436389958215,Normal
blk_-5358363415355511925,Normal
blk_5274692881287326658,Normal
blk_-2573988170548478524,Normal
blk_-5175722170941249815,Normal
blk_2646137657036117634,Normal
blk_-6232712486646639079,Normal
blk_-7232800529359257484,Normal
blk_2585807940696131461,Normal
blk_-7486457612086258197,Normal
blk_1732876454483854279,Normal
blk_3294295097158489623,Normal
blk_-6511728007995801856,Normal
blk_3953559589275347835,Normal
blk_-463158400553007438,Normal
blk_5614249702379360530,Normal
blk_38171424126089923,Normal
blk_-7532913187987519950,Normal
blk_-3318642146574997320,Normal
blk_-6054385392244792487,Normal
blk_-7545473931084004681,Normal
blk_-237744713088101845,Normal
blk_541458502420960920,Normal
blk_-7565306891743376805,Normal
blk_8465769948419925967,Normal
blk_1367870633219053668,Normal
blk_-3572954475094555028,Normal
blk_2455917203220074754,Normal
blk_-5472366049560759167,Normal
blk_-2449017855856764848,Normal
