LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,ParameterList
1,081109,203615,148,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_38865049064139660 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['1', 'blk_38865049064139660']"
2,081109,203807,222,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-6952295868487656571 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['0', 'blk_-6952295868487656571']"
3,081109,204005,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.73.220:50010', 'blk_7128370237687728475', '67108864']"
4,081109,204015,308,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_8229193803249955061 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['2', 'blk_8229193803249955061']"
5,081109,204106,329,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-6670958622368987959 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['2', 'blk_-6670958622368987959']"
6,081109,204132,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.43.115:50010', 'blk_3050920587428079149', '67108864']"
7,081109,204324,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.203.80:50010', 'blk_7888946331804732825', '67108864']"
8,081109,204453,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.250.11.85:50010', 'blk_2377150260128098806', '67108864']"
9,081109,204525,512,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_572492839287299681 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['2', 'blk_572492839287299681']"
10,081109,204655,556,INFO,dfs.DataNode$PacketResponder,Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,e3df2680,Received block <*> of size <*> from <*>,"['blk_3587508140051953248', '67108864', '/10.251.42.84']"
11,081109,204722,567,INFO,dfs.DataNode$PacketResponder,Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,e3df2680,Received block <*> of size <*> from <*>,"['blk_5402003568334525940', '67108864', '/10.251.214.112']"
12,081109,204815,653,INFO,dfs.DataNode$DataXceiver,Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_5792489080791696128', '/10.251.30.6:33145', '/10.251.30.6:50010']"
13,081109,204842,663,INFO,dfs.DataNode$DataXceiver,Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_1724757848743533110', '/10.251.111.130:49851', '/10.251.111.130:50010']"
14,081109,204908,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.110.8:50010', 'blk_8015913224713045110', '67108864']"
15,081109,204925,673,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-5623176793330377570', '/10.251.75.228:53725', '/10.251.75.228:50010']"
16,081109,205035,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,3d91fa85,BLOCK* NameSystem.allocateBlock: <*> <*>,['/user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100']
17,081109,205056,710,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_5017373558217225674 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['1', 'blk_5017373558217225674']"
18,081109,205157,752,INFO,dfs.DataNode$PacketResponder,Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,e3df2680,Received block <*> of size <*> from <*>,"['blk_9212264480425680329', '67108864', '/10.251.123.1']"
19,081109,205315,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,3d91fa85,BLOCK* NameSystem.allocateBlock: <*> <*>,['/user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702']
20,081109,205409,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.111.130:50010', 'blk_4568434182693165548', '67108864']"
21,081109,205412,832,INFO,dfs.DataNode$PacketResponder,Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,e3df2680,Received block <*> of size <*> from <*>,"['blk_-5704899712662113150', '67108864', '/10.251.91.229']"
22,081109,205632,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.74.79:50010', 'blk_-4794867979917102672', '67108864']"
23,081109,205739,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.38.197:50010', 'blk_8763662564934652249', '67108864']"
24,081109,205742,1001,INFO,dfs.DataNode$PacketResponder,Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211,e3df2680,Received block <*> of size <*> from <*>,"['blk_-5861636720645142679', '67108864', '/10.251.70.211']"
25,081109,205746,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.74.134:50010', 'blk_7453815855294711849', '67108864']"
26,081109,205749,997,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-28342503914935090', '/10.251.123.132:57542', '/10.251.123.132:50010']"
27,081109,205754,952,INFO,dfs.DataNode$PacketResponder,Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155,e3df2680,Received block <*> of size <*> from <*>,"['blk_8291449241650212794', '67108864', '/10.251.89.155']"
28,081109,205858,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435,3d91fa85,BLOCK* NameSystem.allocateBlock: <*> <*>,['/user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435']
29,081109,205931,13,INFO,dfs.DataBlockScanner,Verification succeeded for blk_-4980916519894289629,32777b38,Verification succeeded for <*>,['blk_-4980916519894289629']
30,081109,210022,1110,INFO,dfs.DataNode$PacketResponder,Received block blk_-5974833545991408899 of size 67108864 from /10.251.31.180,e3df2680,Received block <*> of size <*> from <*>,"['blk_-5974833545991408899', '67108864', '/10.251.31.180']"
31,081109,210037,1084,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-5009020203888190378 src: /10.251.199.19:52622 dest: /10.251.199.19:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-5009020203888190378', '/10.251.199.19:52622', '/10.251.199.19:50010']"
32,081109,210248,1138,INFO,dfs.DataNode$PacketResponder,Received block blk_6921674711959888070 of size 67108864 from /10.251.65.203,e3df2680,Received block <*> of size <*> from <*>,"['blk_6921674711959888070', '67108864', '/10.251.65.203']"
33,081109,210407,33,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_5165786360127153975 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.250.7.244:50010', 'blk_5165786360127153975', '67108864']"
34,081109,210458,1278,INFO,dfs.DataNode$DataXceiver,Receiving block blk_2937758977269298350 src: /10.251.194.129:37476 dest: /10.251.194.129:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_2937758977269298350', '/10.251.194.129:37476', '/10.251.194.129:50010']"
35,081109,210551,32,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.250.6.191:50010', 'blk_673825774073966710', '67108864']"
36,081109,210637,1283,INFO,dfs.DataNode$PacketResponder,Received block blk_-7526945448667194862 of size 67108864 from /10.251.203.80,e3df2680,Received block <*> of size <*> from <*>,"['blk_-7526945448667194862', '67108864', '/10.251.203.80']"
37,081109,210656,1334,INFO,dfs.DataNode$PacketResponder,Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83,e3df2680,Received block <*> of size <*> from <*>,"['blk_-2094397855762091248', '67108864', '/10.251.126.83']"
38,081109,210712,1333,INFO,dfs.DataNode$PacketResponder,Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225,e3df2680,Received block <*> of size <*> from <*>,"['blk_-8523968015014407246', '67108864', '/10.251.214.225']"
39,081109,210743,27,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to blk_8181993091797661153 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.89.155:50010', 'blk_8181993091797661153', '67108864']"
40,081109,210801,1357,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-6276023454199613372 src: /10.251.65.237:34085 dest: /10.251.65.237:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-6276023454199613372', '/10.251.65.237:34085', '/10.251.65.237:50010']"
41,081109,210807,1408,INFO,dfs.DataNode$PacketResponder,Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79,e3df2680,Received block <*> of size <*> from <*>,"['blk_4755566011267050000', '67108864', '/10.251.75.79']"
42,081109,210812,1395,INFO,dfs.DataNode$PacketResponder,Received block blk_-3909548841543565741 of size 3542967 from /10.251.195.33,e3df2680,Received block <*> of size <*> from <*>,"['blk_-3909548841543565741', '3542967', '/10.251.195.33']"
43,081109,210921,1452,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-6809181994368905854 src: /10.250.17.225:51754 dest: /10.250.17.225:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-6809181994368905854', '/10.250.17.225:51754', '/10.250.17.225:50010']"
44,081109,210935,1458,INFO,dfs.DataNode$PacketResponder,Received block blk_8829027411458566099 of size 67108864 from /10.251.38.214,e3df2680,Received block <*> of size <*> from <*>,"['blk_8829027411458566099', '67108864', '/10.251.38.214']"
45,081109,211029,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-29548654251973735 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.106.50:50010', 'blk_-29548654251973735', '67108864']"
46,081109,211038,1490,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-5073870177832699716 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['1', 'blk_-5073870177832699716']"
47,081109,211216,1504,INFO,dfs.DataNode$PacketResponder,Received block blk_-8241093737585222406 of size 67108864 from /10.250.5.161,e3df2680,Received block <*> of size <*> from <*>,"['blk_-8241093737585222406', '67108864', '/10.250.5.161']"
48,081109,211301,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.228:50010 is added to blk_-2480595760294717232 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.111.228:50010', 'blk_-2480595760294717232', '67108864']"
49,081109,211353,1574,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_7791237942696729620 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['0', 'blk_7791237942696729620']"
50,081109,211403,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.202.134:50010 is added to blk_2113880130496815041 size 3549917,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.202.134:50010', 'blk_2113880130496815041', '3549917']"
51,081109,211453,1623,INFO,dfs.DataNode$PacketResponder,Received block blk_1064470652608359218 of size 67108864 from /10.251.39.242,e3df2680,Received block <*> of size <*> from <*>,"['blk_1064470652608359218', '67108864', '/10.251.39.242']"
52,081109,211528,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_-1661553043410372067 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.110.8:50010', 'blk_-1661553043410372067', '67108864']"
53,081109,211617,1635,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-1527267659500322006 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['1', 'blk_-1527267659500322006']"
54,081109,211918,1777,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_4886940526690879848 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['1', 'blk_4886940526690879848']"
55,081109,212029,1814,INFO,dfs.DataNode$PacketResponder,Received block blk_-2452477352812192142 of size 67108864 from /10.250.7.244,e3df2680,Received block <*> of size <*> from <*>,"['blk_-2452477352812192142', '67108864', '/10.250.7.244']"
56,081109,212219,1885,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-4229375751333894621 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['0', 'blk_-4229375751333894621']"
57,081109,212220,1946,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-774267833966018354 src: /10.251.38.53:51057 dest: /10.251.38.53:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-774267833966018354', '/10.251.38.53:51057', '/10.251.38.53:50010']"
58,081109,212245,27,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775,3d91fa85,BLOCK* NameSystem.allocateBlock: <*> <*>,['/user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775']
59,081109,212317,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_-1282453782148343691,3d91fa85,BLOCK* NameSystem.allocateBlock: <*> <*>,['/user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_-1282453782148343691']
60,081109,212338,2007,INFO,dfs.DataNode$PacketResponder,Received block blk_-518701095493827363 of size 67108864 from /10.251.214.67,e3df2680,Received block <*> of size <*> from <*>,"['blk_-518701095493827363', '67108864', '/10.251.214.67']"
61,081109,212403,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-2530087534157630851 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.106.50:50010', 'blk_-2530087534157630851', '67108864']"
62,081109,212440,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.198.196:50010 is added to blk_427714267500527780 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.198.196:50010', 'blk_427714267500527780', '67108864']"
63,081109,212703,2053,INFO,dfs.DataNode$PacketResponder,Received block blk_-967145856473901804 of size 67108864 from /10.250.6.191,e3df2680,Received block <*> of size <*> from <*>,"['blk_-967145856473901804', '67108864', '/10.250.6.191']"
64,081109,212904,2174,INFO,dfs.DataNode$PacketResponder,Received block blk_8408125361497769001 of size 67108864 from /10.251.70.211,e3df2680,Received block <*> of size <*> from <*>,"['blk_8408125361497769001', '67108864', '/10.251.70.211']"
65,081109,212931,2211,INFO,dfs.DataNode$PacketResponder,Received block blk_-1614641487214609125 of size 67108864 from /10.251.193.175,e3df2680,Received block <*> of size <*> from <*>,"['blk_-1614641487214609125', '67108864', '/10.251.193.175']"
66,081109,213009,2207,INFO,dfs.DataNode$PacketResponder,Received block blk_7577595658377008671 of size 67108864 from /10.251.71.97,e3df2680,Received block <*> of size <*> from <*>,"['blk_7577595658377008671', '67108864', '/10.251.71.97']"
67,081109,213028,2206,INFO,dfs.DataNode$PacketResponder,Received block blk_3777400576053320362 of size 67108864 from /10.251.31.5,e3df2680,Received block <*> of size <*> from <*>,"['blk_3777400576053320362', '67108864', '/10.251.31.5']"
68,081109,213217,2267,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-5852844080027817147 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['0', 'blk_-5852844080027817147']"
69,081109,213353,2313,INFO,dfs.DataNode$PacketResponder,Received block blk_-2129171714384027465 of size 67108864 from /10.251.75.228,e3df2680,Received block <*> of size <*> from <*>,"['blk_-2129171714384027465', '67108864', '/10.251.75.228']"
70,081109,213436,13,INFO,dfs.DataBlockScanner,Verification succeeded for blk_-2827716238972737794,32777b38,Verification succeeded for <*>,['blk_-2827716238972737794']
71,081109,213506,2421,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-3509323198988774369 src: /10.250.6.214:52922 dest: /10.250.6.214:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-3509323198988774369', '/10.250.6.214:52922', '/10.250.6.214:50010']"
72,081109,213510,2384,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_9093049293972551787 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['0', 'blk_9093049293972551787']"
73,081109,213837,19,INFO,dfs.FSDataset,Deleting block blk_1781953582842324563 file /mnt/hadoop/dfs/data/current/subdir5/blk_1781953582842324563,c0a9fd05,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir5/<*>,"['blk_1781953582842324563', 'blk_1781953582842324563']"
74,081109,213847,2552,INFO,dfs.DataNode$DataXceiver,10.251.194.213:50010 Served block blk_-7724713468912166542 to /10.251.203.80,626085d5,<*> Served block <*> to <*>,"['10.251.194.213:50010', 'blk_-7724713468912166542', '/10.251.203.80']"
75,081109,213907,2497,INFO,dfs.DataNode$DataXceiver,10.251.91.229:50010 Served block blk_-3358448553918665902 to /10.251.91.229,626085d5,<*> Served block <*> to <*>,"['10.251.91.229:50010', 'blk_-3358448553918665902', '/10.251.91.229']"
